bait_gene,auroc_score
YIPF1,0.6841074811965322
TMEM59,0.45056837754047535
TCEANC2,0.4706838146638342
MRPL37,0.49114581339865526
SSBP3,0.7261070922800168
TTC4,0.62675265689389
USP24,0.5951569895765555
OMA1,0.7124494456564728
MYSM1,0.6210688814891363
JUN,0.49434174098314637
TM2D1,0.5947168318852784
USP1,0.5613350174149346
ITGB3BP,0.553074086832268
JAK1,0.7251363610265832
PDE4B,0.7241832692197279
MIER1,0.5821627690384149
SLC35D1,0.7508296491933169
SERBP1,0.5369998277742695
GADD45A,0.7302692771430213
GNG12,0.5902514640027557
WLS,0.49505619984435
LRRC40,0.619799441191105
SRSF11,0.5177913014633648
ANKRD13C,0.5644657518516393
ZRANB2,0.5511220831579081
CRYZ,0.6723950957502455
TYW3,0.6507253033260612
SLC44A5,0.7181317103978871
RABGGTB,0.4294535665531187
ST6GALNAC3,0.687730444878223
PIGK,0.7020132430053201
ZZZ3,0.5241257447595717
USP33,0.6728416325384977
NEXN,0.7439340873858874
FUBP1,0.6508465061685867
DNAJB4,0.6445248210663298
PRKACB,0.7076204692463733
RPF1,0.759584593204986
GNG5,0.7399150255497503
SSX2IP,0.6031818935711459
SYDE2,0.7561405523339266
CCN1,0.7354423838778206
ZNHIT6,0.7936936247304832
ODF2L,0.5948957914681059
SH3GLB1,0.59418736683635065
SELENOF,0.5875084523034918
HS2ST1,0.5869981245454894
PKN2,0.5634401194166954
GTF2B,0.6089230808486751
KYAT3,0.7980952016432554
RBMXL1,0.6907477577474131
GBP3,0.7294310156743412
GBP5,0.6342022162255269
LRRC8C,0.6602556742067593
LRRC8D,0.5569041740827927
ZNF326,0.5717584618721373
ZNF644,0.608125693726796
CDC7,0.7064594735969175
RPAP2,0.7872315994947756
RPL5,0.5030426545725931
MTF2,0.4424605452852094
TMED5,0.5029535218994399
CCDC18,0.7136475856921398
DR1,0.6755698455531952
FNBP1L,0.7300302369196616
DNTTIP2,0.4844350033809214
CNN3,0.7413791123614859
RWDD3,0.7848394381291386
PTBP2,0.6650571280932422
SNX7,0.7492277659757708
PALMD,0.5472067520238847
SLC35A3,0.772470369094551
MFSD14A,0.7421186256873478
SASS6,0.5810847016496344
TRMT13,0.7600247508962632
RTCA,0.7140569780941809
SLC30A7,0.7455130045357984
S1PR1,0.6015904001837286
PRMT6,0.721373802324543
VAV3,0.6402709995980939
SLC25A24,0.7402939656657289
NBPF6,0.5531836711259115
PRPF38B,0.7809673262652939
STXBP3,0.6624947372449956
GPSM2,0.6381393449943225
WDR47,0.7391858529023368
TAF13,0.5865935580180284
TMEM167B,0.7276166963311707
PSRC1,0.7169030257794109
PSMA5,0.6750105255100087
GNAI3,0.6638726221916025
GSTM2,0.6212091634609864
AHCYL1,0.5313486823218695
RBM15,0.7956201120169429
LAMTOR5,0.7444087215013843
LRIF1,0.6193082507240275
DRAM2,0.7352184647183786
CEPT1,0.6903905283168114
WDR77,0.7439340873858873
ATP5PB,0.739673881839582
C1orf162,0.4813917436986852
RAP1A,0.7884691443079318
ST7L,0.6908652465981512
CAPZA1,0.7352012401676523
MOV10,0.5225469369007292
RHOC,0.7468737440431762
SLC16A1,0.5406667432158303
PHTF1,0.7378767870471379
PTPN22,0.5564104036286387
TRIM33,0.6569385437797425
