bait_gene,auroc_score
NTPCR,0.680406852248394
LGALS8,0.47540886113589054
MTR,0.6504906333630687
CHRM3,0.7054415700267618
EXO1,0.5214578872234118
CEP170,0.6730300327088908
HNRNPU,0.5997026464466251
EFCAB2,0.7154326494201606
ZNF695,0.6840321141837644
ZNF670,0.4029735355337496
TRAPPC12,0.7738923580136783
IAH1,0.45269104965804335
ADAM17,0.5445138269402319
RRM2,0.7326971102390296
PDIA6,0.5590438815554764
ROCK2,0.664049955396967
E2F6,0.6453761522450193
RHOB,0.6171038543897216
KIF3C,0.5367826345524829
HADHB,0.9208444840915849
OST4,0.5380977872947894
MPV17,0.5643770443056795
EIF2B4,0.47540886113589054
ZNF512,0.511148769175883
